study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	sample_title
PRJEB4337	SAMEA2151887	ERS326949	ERX288606	ERR315325	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315325/ERR315325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315325/ERR315325_2.fastq.gz	salivarygland_6a
PRJEB4337	SAMEA2155770	ERS326948	ERX288491	ERR315326	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315326/ERR315326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315326/ERR315326_2.fastq.gz	lung_4a
PRJEB4337	SAMEA2145122	ERS326939	ERX288481	ERR315327	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315327/ERR315327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315327/ERR315327_2.fastq.gz	liver_c
PRJEB4337	SAMEA2154361	ERS326979	ERX288536	ERR315328	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315328/ERR315328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315328/ERR315328_2.fastq.gz	heart_5a
PRJEB4337	SAMEA2152719	ERS326955	ERX288623	ERR315329	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315329/ERR315329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315329/ERR315329_2.fastq.gz	lymphnode_5c
PRJEB4337	SAMEA2155984	ERS326972	ERX288546	ERR315330	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315330/ERR315330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315330/ERR315330_2.fastq.gz	prostate_4a
PRJEB4337	SAMEA2159607	ERS326987	ERX288573	ERR315331	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315331/ERR315331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315331/ERR315331_2.fastq.gz	heart_6b
PRJEB4337	SAMEA2142680	ERS326974	ERX288527	ERR315332	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315332/ERR315332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315332/ERR315332_2.fastq.gz	fat_a
PRJEB4337	SAMEA2163105	ERS326942	ERX288540	ERR315333	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315333/ERR315333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315333/ERR315333_2.fastq.gz	bonemarrow_6c
PRJEB4337	SAMEA2144335	ERS326975	ERX288528	ERR315334	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315334/ERR315334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315334/ERR315334_2.fastq.gz	urinarybladder_5c
